name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Jordan Aaberg,2.0574,102.06,Forward,28.75,4,11.2,1.5,2.3,0.619,1.5,2.3,0.619,0,0,0,0.6,0.7,0.788,0.2,0.2,0.8,3.5,0.7,1.6,2.3,0.6,4,2010,2014,FALSE
Mike Aaman,2.032,95.256,Forward,21.4,11,19,3.1,6.5,0.473,3.1,6.5,0.474,0,0,0,1.8,2.8,0.641,0.4,0.5,0.7,7.9,2.5,3.2,5.7,1.2,5,2013,2017,FALSE
Jordan Aaron,1.778,72.576,Guard,31.5,30,34.3,4.6,12.3,0.373,2.4,6,0.402,2.1,6.2,0.344,3.3,3.9,0.838,3.3,1.2,0.1,14.6,0.4,2.9,3.3,3,2,2013,2014,FALSE
Shaqquan Aaron,2.0065999999999997,88.452,Guard,25.4,13,18.8,2.1,5,0.417,1.3,2.8,0.483,0.7,2.2,0.335,0.8,1.3,0.624,1.2,0.4,0.2,5.7,0.6,2.1,2.7,1,5,2015,2019,FALSE
Joe Aase,2.032,99.792,Forward,24,0,6.3,0.3,1,0.333,0.2,0.5,0.385,0.1,0.5,0.273,0,0.1,0.5,0.2,0.1,0.1,0.8,0.1,0.8,1,0.2,1,2014,2014,FALSE
Ronell Abaekobe,1.9811999999999999,95.256,Guard,7,0,1.4,0.1,0.1,1,0.1,0.1,1,0,0,0,0.3,0.6,0.5,0,0,0,0.6,0,0,0,0,1,2013,2013,FALSE
Kwesi Abakah,2.032,96.1632,Forward,27.25,2.75,7.6,0.3,0.8,0.422,0.3,0.8,0.422,0,0,0,0.3,0.6,0.429,0.3,0.1,0.2,0.9,0.5,0.8,1.3,0.3,4,2014,2017,FALSE
Ty Abbott,1.905,93.8952,Guard,32.5,29.75,30.9,3.5,8.8,0.399,1.4,2.9,0.475,2.1,5.8,0.361,1.1,1.6,0.7,1.8,1,0.4,10.2,0.6,3.3,3.9,1.5,4,2008,2011,FALSE
Huthifah Abdel Jawad,1.8288,72.576,Guard,10,0,1.4,0,0.2,0,0,0.2,0,0,0,0,0.1,0.2,0.5,0.1,0,0,0.1,0,0.1,0.1,0.1,1,2019,2019,FALSE
Mostafa Abdel Latif,2.032,104.328,Forward,28,9,15.2,1.5,3,0.482,1.5,3,0.482,0,0,0,0.5,0.8,0.587,0.2,0.2,0.5,3.4,1.6,2.8,4.4,0.7,2,2013,2014,FALSE
Salah Abdo,1.8796,85.2768,Guard,5,0,2.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,2012,2012,FALSE
Muhammad Abdul-Aleem,1.9304,95.256,Guard,25,1.5,17.7,2.5,6.9,0.369,2,5,0.403,0.5,1.9,0.281,1.7,2.7,0.632,1,0.9,0.1,7.3,0.9,2.6,3.5,1.9,2,2013,2014,FALSE
Musa Abdul-Aleem,1.9558,99.792,Guard,18.333333333333332,7.666666666666667,20.7,3.4,8.4,0.4,1.7,3.4,0.487,1.7,5,0.339,1.6,2.1,0.779,0.6,0.8,0.1,10,0.6,2.6,3.2,1.2,3,2013,2015,FALSE
