Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,Kentucky,10,572,19686,13663,5858,1313,.514,.309,.798,34.4,23.9,10.2,2.3,87.8,.214,6.1,40.2
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
3,3,WAS,Bradley Beal,Florida,10,611,21198,13449,2485,2463,.455,.375,.822,34.7,22.0,4.1,4.0,47.3,.107,1.7,19.9
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,.412,.346,.694,28.2,13.1,2.6,2.8,8.8,.036,-2.1,-0.4
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
6,6,POR,Damian Lillard,Weber State,10,689,25012,16945,2884,4574,.438,.373,.893,36.3,24.6,4.2,6.6,92.6,.178,4.7,42.5
7,7,GSW,Harrison Barnes,UNC,10,677,21435,9464,3453,1206,.452,.378,.801,31.7,14.0,5.1,1.8,39.9,.089,-0.9,5.9
8,8,TOR,Terrence Ross,Washington,10,615,15386,6980,1761,738,.419,.367,.835,25.0,11.3,2.9,1.2,23.3,.073,-0.7,5.0
9,9,DET,Andre Drummond,UConn,10,651,19945,9398,8899,887,.538,.134,.471,30.6,14.4,13.7,1.4,63.1,.152,1.3,16.7
10,10,NOH,Austin Rivers,Duke,10,594,14434,5351,1250,1353,.417,.350,.646,24.3,9.0,2.1,2.3,12.6,.042,-3.0,-3.8
11,11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,.482,.390,.809,16.0,5.6,3.9,0.9,15.5,.104,-1.4,1.0
12,12,HOU,Jeremy Lamb,UConn,10,524,11092,5465,1935,828,.443,.347,.860,21.2,10.4,3.7,1.6,25.8,.112,0.8,7.7
13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-3.5,-1.1
14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.4,3.4
15,15,PHI,Maurice Harkless,St. John's,10,580,13296,4073,2107,552,.475,.320,.622,22.9,7.0,3.6,1.0,22.6,.081,-0.7,4.2
16,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-16.9,0.0
17,17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
18,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
