name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
A.J. Hammons,2.1336,118.3896,Center,33.0,23.75,24.3,4.6,8.6,0.539,4.6,8.4,0.544,0.0,0.2,0.539,2.7,4.0,0.69,0.8,0.4,2.6,12.1,2.4,4.7,7.0,2.1,Purdue,4.0,2013,2016,True
Spirit Ricks,2.032,97.524,Guard,26.0,18.0,14.7,1.2,4.0,0.311,0.9,2.0,0.442,0.3,2.0,0.311,0.9,1.2,0.767,0.5,0.2,0.0,3.7,0.5,2.7,3.2,1.3,Norfolk State,1.0,2020,2020,False
George Matthews,1.9558,104.328,Guard,10.8,0.0,8.6,1.1,3.0,0.375,0.8,1.4,0.5539999999999999,0.4,1.6,0.375,0.4,0.5,0.679,0.2,0.3,0.3,2.9,0.7,1.3,2.0,0.8,Overall,5.0,2012,2016,False
Jordan Nelson,1.8288,72.57600000000002,Guard,27.0,0.0,7.1,0.7,1.8,0.364,0.2,0.4,0.458,0.5,1.4,0.364,0.1,0.2,0.778,0.3,0.1,0.0,1.9,0.1,0.4,0.4,0.2,Evansville,2.0,2012,2013,False
Kaleb Joseph,1.905,83.916,Guard,19.8,6.6,16.5,1.5,3.8,0.401,1.1,2.6,0.4320000000000001,0.4,1.1,0.401,0.8,1.1,0.743,2.0,0.5,0.1,4.2,0.3,1.2,1.6,1.2,Overall,5.0,2015,2019,False
Jermaine Davis,2.0574,133.812,Center,6.333333333333333,0.3333333333333333,5.3,0.3,0.7,0.35700000000000004,0.2,0.6,0.333,0.1,0.1,0.35700000000000004,0.6,0.9,0.647,0.1,0.0,0.1,1.2,0.3,0.8,1.1,0.6,Overall,3.0,2014,2016,False
Stephen Albrecht,1.905,79.38,Guard,13.75,9.0,25.8,3.2,8.8,0.365,1.2,3.4,0.349,2.0,5.4,0.365,0.9,1.3,0.649,1.8,0.7,0.1,9.3,0.3,2.4,2.6,1.5,Overall,4.0,2010,2013,False
Ray Bowles,1.9558,86.184,Guard,31.0,31.0,29.8,3.5,8.7,0.407,2.5,5.6,0.452,1.0,3.1,0.407,2.4,3.5,0.682,2.2,0.9,0.1,10.5,1.1,2.6,3.7,1.8,Overall,4.0,2015,2018,False
Terrance Calvin,1.8796,77.112,Guard,23.5,20.25,30.7,3.4,8.8,0.386,3.3,8.3,0.397,0.1,0.5,0.386,3.6,4.7,0.752,3.2,1.3,0.0,10.4,1.5,3.3,4.8,3.1,Arkansas-Pine Bluff,4.0,2007,2010,False
Matthew Grant,1.8288,80.2872,Guard,23.75,9.5,19.4,1.4,4.4,0.329,0.7,2.0,0.371,0.7,2.4,0.329,1.1,1.4,0.8059999999999999,1.3,0.7,0.2,4.7,0.3,1.8,2.1,0.7,Detroit,4.0,2014,2017,False
Dorian Green,1.8796,87.0912,Guard,32.5,32.5,32.7,3.4,8.3,0.408,1.9,4.2,0.444,1.5,4.1,0.408,3.0,3.7,0.805,2.9,0.8,0.1,11.3,0.3,2.6,2.9,1.9,Colorado State,4.0,2010,2013,False
Cole Stockton,1.9558,88.45200000000001,Guard,10.0,0.0,1.8,0.1,0.6,0.182,0.0,0.1,0.0,0.1,0.5,0.182,0.1,0.1,1.0,0.1,0.0,0.0,0.4,0.1,0.1,0.2,0.1,Auburn,2.0,2015,2016,False
Kaelon Wilson,1.8796,81.648,Guard,33.0,13.5,22.9,3.1,6.9,0.451,2.4,4.7,0.512,0.7,2.2,0.451,2.1,3.2,0.6559999999999999,1.2,0.7,0.2,9.0,1.3,2.6,3.9,1.3,Texas-Arlington,4.0,2015,2018,False
Don MuepoKelly,1.9812,108.864,Forward,24.666666666666668,14.0,18.6,2.5,5.3,0.467,2.5,5.2,0.473,0.0,0.1,0.467,1.4,2.4,0.586,0.8,1.1,1.0,6.3,1.6,2.7,4.3,1.1,Overall,3.0,2013,2017,False
Dayon Griffin,1.9304,95.256,Guard,24.2,6.6,20.6,2.4,5.9,0.414,1.2,2.4,0.515,1.2,3.4,0.414,0.7,1.3,0.551,1.1,0.8,0.2,6.7,0.5,2.5,2.9,1.0,Overall,5.0,2015,2019,False
Shemiye McLendon,1.905,88.45200000000001,Guard,22.5,4.0,20.0,1.7,5.1,0.338,1.2,3.1,0.378,0.6,2.1,0.338,0.9,1.3,0.726,1.4,0.6,0.1,5.0,0.5,1.4,1.9,1.5,Overall,4.0,2011,2014,False
D'Montre Edwards,1.9812,92.0808,Guard,14.0,0.0,7.0,0.7,2.1,0.333,0.4,1.3,0.314,0.3,0.9,0.333,0.5,0.7,0.737,0.2,0.2,0.0,2.3,0.3,1.4,1.7,0.3,Tennessee,2.0,2013,2014,False
